Year,Country,Winner,Wining Continent,Runners-Up,Third,Fourth,GoalsScored,QualifiedTeams,MatchesPlayed,Attendance
1930,Uruguay,Uruguay,SA,Argentina,USA,Yugoslavia,70,13,18,590.549
1934,Italy,Italy,EU,Czechoslovakia,Germany,Austria,70,16,17,363
1938,France,Italy,EU,Hungary,Brazil,Sweden,84,15,18,375.7
1950,Brazil,Uruguay,SA,Brazil,Sweden,Spain,88,13,22,1.045.246
1954,Switzerland,Germany FR,EU,Hungary,Austria,Uruguay,140,16,26,768.607
1958,Sweden,Brazil,SA,Sweden,France,Germany FR,126,16,35,819.81
1962,Chile,Brazil,SA,Czechoslovakia,Chile,Yugoslavia,89,16,32,893.172
1966,England,England,EU,Germany FR,Portugal,Soviet Union,89,16,32,1.563.135
1970,Mexico,Brazil,SA,Italy,Germany FR,Uruguay,95,16,32,1.603.975
1974,Germany,Germany FR,EU,Netherlands,Poland,Brazil,97,16,38,1.865.753
1978,Argentina,Argentina,SA,Netherlands,Brazil,Italy,102,16,38,1.545.791
1982,Spain,Italy,EU,Germany FR,Poland,France,146,24,52,2.109.723
1986,Mexico,Argentina,SA,Germany FR,France,Belgium,132,24,52,2.394.031
1990,Italy,Germany FR,EU,Argentina,Italy,England,115,24,52,2.516.215
1994,USA,Brazil,SA,Italy,Sweden,Bulgaria,141,24,52,3.587.538
1998,France,France,EU,Brazil,Croatia,Netherlands,171,32,64,2.785.100
2002,Korea/Japan,Brazil,SA,Germany,Turkey,Korea Republic,161,32,64,2.705.197
2006,Germany,Italy,EU,France,Germany,Portugal,147,32,64,3.359.439
2010,South Africa,Spain,EU,Netherlands,Germany,Uruguay,145,32,64,3.178.856
2014,Brazil,Germany,EU,Argentina,Netherlands,Brazil,171,32,64,3.386.810
